Age,Tenure,Income,Claims
56,2,121826,5
69,18,90082,0
46,14,108624,3
32,24,130228,0
60,22,58130,5
25,4,76756,3
38,27,122624,2
56,9,51292,2
36,6,136785,8
40,24,111206,5
28,16,94274,8
28,6,27469,4
41,21,78947,1
53,25,47534,7
57,29,88620,4
41,11,73874,1
20,24,74708,3
39,16,99553,8
19,12,93344,3
41,19,74138,3
61,24,79302,1
47,3,72638,5
55,9,103249,10
19,2,130865,1
38,8,27719,6
50,12,47890,2
29,17,102236,2
39,14,61509,4
61,3,67534,2
42,14,127302,1
66,21,117241,9
44,1,43787,8
59,14,73845,1
45,7,82932,10
33,7,117124,1
32,16,116659,7
64,11,58062,8
68,18,100713,6
61,9,112263,2
69,8,120756,8
20,4,85461,2
54,5,100418,4
68,19,91672,8
24,25,59832,2
38,1,56966,6
26,26,97545,0
56,23,37987,3
35,26,62311,3
21,12,56575,6
42,5,88852,7
31,4,26007,0
67,24,95981,4
26,0,101242,6
43,20,72517,3
19,21,135022,3
37,20,54257,3
45,5,112272,5
64,5,67207,6
24,22,38281,1
61,15,86246,4
25,3,26435,3
64,29,123875,2
52,10,125686,6
31,29,116357,10
34,29,51660,5
53,29,30084,6
67,30,107197,4
57,23,38507,5
21,22,97595,4
19,8,108807,6
23,22,70539,1
59,2,140953,10
21,18,32491,4
46,30,137831,5
35,7,75192,5
43,4,105395,4
61,3,148797,9
51,23,88888,6
27,30,98609,9
53,5,34077,7
31,1,142440,6
48,19,147901,4
65,27,45953,0
32,10,101919,4
25,3,139682,9
31,14,146041,1
40,5,92889,4
57,21,48821,4
38,16,62567,1
33,29,140374,4
62,23,49860,3
35,5,46195,0
64,18,102475,2
41,29,115874,0
43,24,112266,10
42,1,46427,4
62,14,125732,3
58,10,52083,6
46,7,112046,4
32,25,82372,9
62,18,148786,3
18,12,69064,1
42,11,32813,3
24,4,56598,1
26,5,137718,7
41,25,118106,2
18,21,52082,8
61,3,54241,3
25,18,121214,5
41,19,69569,9
28,0,36745,4
68,19,51029,9
34,16,38025,0
25,11,126660,8
52,14,148395,0
52,0,39288,7
50,25,114186,8
22,13,31540,8
59,5,122768,0
56,4,106958,1
58,29,93878,0
45,10,66846,9
24,30,126148,1
26,3,100932,9
25,12,42482,7
29,10,48411,4
51,2,75975,10
50,0,85545,6
65,5,137302,1
40,17,103797,7
41,23,77307,10
54,9,28093,5
52,4,102258,7
61,22,47042,0
57,9,77930,0
39,11,142584,6
44,1,69413,7
52,12,138387,2
18,7,118623,4
52,1,122883,0
54,19,58756,6
64,0,78268,4
31,30,64214,7
20,4,106871,7
18,8,53602,8
22,16,78331,6
43,8,73901,10
31,10,124986,0
56,14,88416,2
44,23,57196,7
26,5,30626,2
32,22,32424,7
32,2,37857,0
43,29,135459,4
59,30,140621,3
30,16,44982,4
68,4,101961,7
49,29,26980,9
56,27,73290,3
66,11,51431,10
69,17,109976,3
49,13,132288,2
21,20,107711,6
47,23,139187,2
54,10,51385,2
40,8,63158,10
56,1,48019,9
62,11,43639,4
32,2,110530,4
60,2,124911,5
46,0,46563,7
53,7,64341,9
30,21,140672,5
49,27,30776,0
24,28,61444,7
68,7,93916,7
39,10,33711,8
45,8,99318,8
19,4,107970,1
59,13,137301,1
62,27,110553,2
23,29,55707,0
45,2,64110,3
45,20,86788,3
61,4,107879,8
61,4,63827,8
37,18,132188,8
47,26,30655,9
28,13,69859,6
45,25,78625,1
42,29,77098,9
56,3,40251,4
50,24,147413,3
18,12,25526,10
44,9,93760,7
69,24,72837,1
30,17,36536,5
58,7,53541,4
20,7,104083,1
56,6,76027,10
23,7,59531,9
25,13,33712,0
44,18,129101,7
26,28,90455,1
54,5,99744,6
50,0,146787,8
68,22,30109,8
59,30,146332,7
61,14,74268,10
41,0,125737,9
32,24,79615,8
49,16,107503,1
49,0,148274,5
41,14,54759,3
58,22,110708,3
69,1,85112,4
66,13,127471,2
66,20,148153,0
69,7,51589,7
29,7,55015,4
56,18,54009,2
19,6,108309,9
20,18,87046,6
66,5,131661,6
54,5,51143,0
66,2,31154,8
34,6,46804,1
66,18,66688,4
19,7,89288,4
19,9,76195,7
45,19,45581,7
40,14,77648,6
54,14,55087,6
49,28,74930,10
50,0,57981,5
18,19,94298,5
36,29,71167,10
19,6,100304,8
61,26,68408,5
43,3,64499,1
49,28,77269,1
23,5,63559,4
49,24,139126,3
21,0,99319,10
28,28,136925,1
34,4,120317,2
55,26,121347,6
41,22,73787,7
22,0,60488,5
69,29,99441,10
51,3,99663,4
23,21,47431,0
39,1,86681,7
28,9,88483,2
65,4,147720,5
33,26,74153,2
50,9,31368,6
26,0,52424,6
23,21,137360,8
33,5,70004,4
46,12,108869,7
20,30,113652,9
37,14,137755,9
53,3,81985,7
36,12,75069,0
43,23,77326,4
20,19,133737,2
36,23,106061,0
37,14,48398,3
49,28,123393,7
24,7,75861,2
69,4,100897,9
58,28,106905,1
50,14,93577,10
57,3,90641,8
56,11,34078,9
35,12,50003,4
57,1,87768,6
18,26,76047,10
28,30,96626,10
45,18,82660,1
42,18,129386,8
67,3,74786,8
40,3,26925,3
48,25,108976,3
47,10,130221,5
59,26,142832,9
52,4,51015,9
24,19,58320,9
33,10,89881,5
43,29,115827,0
65,9,145071,8
69,7,127215,1
66,5,51289,4
19,5,28389,8
18,7,50683,3
65,22,38629,10
29,14,86550,2
22,25,49826,6
54,13,125734,5
49,10,51630,7
26,11,123762,2
58,25,71163,4
52,12,123511,9
36,7,91435,3
65,29,36653,3
33,17,52961,3
20,24,106941,9
37,0,99137,7
41,14,58662,5
50,7,123818,2
41,27,81446,9
69,10,46288,4
28,11,147555,5
66,11,120081,4
25,3,61877,5
53,15,136562,7
55,3,40313,6
57,4,105885,4
37,23,97715,9
52,4,35326,5
65,7,135091,3
42,30,26560,8
52,9,104148,3
42,16,108186,0
46,27,51745,6
35,30,56890,6
63,25,45022,3
35,8,148629,2
19,21,77579,7
52,18,95316,4
33,28,108847,9
58,13,53380,6
53,7,135198,3
50,8,27356,3
21,21,95326,7
50,10,117447,7
31,22,139994,1
38,0,114899,1
65,13,45049,2
37,4,100717,2
25,20,130361,0
24,25,41082,2
20,13,25661,5
34,3,62412,7
50,21,139015,9
65,22,148191,5
29,24,27920,4
68,0,116194,3
39,30,139306,2
39,21,85315,3
63,22,104561,6
47,18,33946,0
55,7,119242,6
55,14,70500,0
62,20,129540,1
68,14,41309,3
25,8,80230,0
44,20,136822,10
44,8,123656,10
51,9,148782,10
38,19,55027,8
47,24,97541,5
50,20,137340,0
45,25,139846,0
64,8,84321,5
50,2,25956,3
22,30,125375,3
65,19,99131,10
36,24,72908,5
21,25,103339,10
52,10,50963,6
66,5,126757,8
34,1,64443,9
61,6,124259,4
45,17,64063,8
47,26,139225,3
46,1,141400,9
63,26,105818,1
23,16,29703,2
52,10,90128,10
58,26,97099,0
54,11,50849,5
41,26,56860,5
46,18,56585,0
66,21,47015,10
63,23,102539,2
48,24,68585,4
52,6,51958,2
50,19,51017,9
69,5,101707,2
38,20,149677,9
49,23,70350,2
40,0,37201,4
50,16,54426,4
20,28,42778,3
35,30,70241,0
42,10,67229,4
59,21,111652,9
48,25,143402,4
20,27,73364,3
57,17,123833,5
63,20,109878,9
41,16,82056,3
67,6,52490,6
49,16,44975,6
64,19,51723,1
39,8,48279,2
40,16,103301,0
19,19,137214,7
44,21,36561,8
59,21,132435,3
19,27,91061,5
43,30,113397,8
34,28,74153,5
57,7,58142,8
50,16,51916,3
26,6,89324,7
60,0,69965,8
65,12,29648,3
56,29,60133,4
46,22,75677,7
59,18,121059,9
43,26,119588,5
52,23,124950,6
67,18,123317,2
42,29,95135,6
41,29,60046,7
30,28,72064,9
24,16,126459,5
53,12,131625,9
62,28,94350,8
37,29,70893,5
18,15,126520,8
25,7,86272,3
63,18,117152,7
33,17,147907,10
31,0,92649,3
29,13,89674,1
68,18,149132,9
40,14,144044,10
32,17,133542,8
45,1,38760,4
51,21,46927,3
19,27,111475,1
49,16,86367,0
40,17,122955,10
39,29,37588,6
68,5,146750,5
42,18,126678,1
39,30,129734,7
39,3,143154,10
66,0,77233,3
69,7,69738,7
59,28,58397,6
23,22,107189,4
32,6,101367,9
60,2,149873,9
54,9,96260,7
50,9,145585,8
25,18,101619,4
61,13,136453,9
61,1,44816,4
22,27,67240,1
56,0,31276,4
21,22,138939,2
23,22,129199,6
62,27,104530,9
49,17,48499,4
69,6,113576,7
47,28,133856,0
64,7,107495,2
52,0,146717,2
57,24,96635,8
69,22,132803,4
33,2,110112,8
30,23,60946,8
67,22,80204,0
59,26,76886,1
47,30,96652,4
36,28,40563,3
34,7,117324,9
36,21,117464,8
45,24,126872,6
43,14,34847,5
54,4,51155,6
43,2,104671,0
40,18,141891,0
26,0,108310,7
29,27,92278,1
18,14,43309,9
18,7,25619,10
64,1,108194,8
51,2,75108,6
49,23,59707,5
65,13,45337,0
42,23,106537,0
57,13,91504,1
62,10,72614,5
18,15,116428,5
33,3,116155,1
56,19,25281,0
22,4,52420,9
39,21,105896,4
46,20,64030,4
20,13,26058,1
29,30,111213,5
43,22,101260,8
33,15,53404,1
68,17,128482,9
54,6,130284,1
39,9,54856,2
46,6,34200,6
31,0,89178,5
45,22,58997,7
22,20,50611,7
64,18,144273,5
66,15,66235,10
47,28,142428,9
63,18,60057,2
69,3,26239,2
22,28,128674,0
29,27,139474,6
33,17,90661,4
43,1,70272,3
43,0,114393,9
65,14,86212,3
38,4,149088,3
56,19,40398,5
53,10,145030,7
50,9,81503,7
47,30,31638,4
54,1,31570,5
40,2,93785,3
27,22,34110,10
22,22,130899,8
53,11,104141,7
51,19,37115,9
69,4,64062,9
48,4,47911,0
27,5,129061,1
36,29,57556,8
49,8,103131,7
18,1,26969,2
22,20,68753,7
62,11,107811,0
21,2,29470,9
33,19,146863,3
41,25,35225,2
33,21,132860,5
19,11,148008,6
66,23,132510,3
45,16,133295,6
49,9,48196,8
44,29,130823,10
37,23,38669,1
41,26,62380,10
29,13,149398,2
67,22,135677,4
52,16,140886,2
50,17,73320,10
50,18,72414,7
68,16,128542,9
60,13,40577,7
54,8,113009,7
29,7,80409,8
20,1,53625,3
18,12,106040,4
50,24,49089,4
57,6,61487,7
27,8,90838,6
60,21,121999,8
61,21,135448,7
46,10,119795,1
30,13,75138,9
29,3,67823,3
48,25,62208,5
63,25,79061,1
19,28,55659,6
68,12,126376,2
67,1,56890,2
52,22,104134,10
40,4,72055,1
34,10,137269,10
43,5,44508,7
25,17,67287,5
46,20,103916,0
43,9,51984,0
27,3,135169,6
43,8,33125,7
51,5,61059,4
68,1,94569,10
58,16,128409,4
24,4,42087,3
21,24,131437,5
67,5,140262,5
62,25,30704,2
28,11,85576,8
46,22,98384,10
53,20,112128,6
42,9,136279,0
38,21,97460,6
53,20,52208,4
27,26,143516,4
54,24,110150,1
26,30,91024,3
41,5,64882,5
52,26,50923,9
66,7,139044,10
52,1,126477,6
65,11,54165,10
53,12,92203,4
35,24,116749,8
66,20,29114,2
56,6,89965,0
49,9,61321,3
41,12,98297,8
40,16,121652,3
49,25,124304,1
54,20,138942,9
29,27,50426,4
66,29,42772,2
30,25,128754,8
40,13,28712,3
42,1,26367,5
52,27,131493,1
58,21,132317,5
47,10,140142,2
34,0,116736,8
66,18,76924,10
37,20,28726,1
65,3,114152,8
42,18,52723,4
39,25,128110,7
30,28,125494,1
36,20,34108,5
66,10,102714,2
53,7,60643,9
29,10,56324,4
58,3,128896,7
36,16,108360,9
29,26,135896,0
26,6,33927,4
24,7,118680,2
45,2,121546,3
31,21,47443,1
48,1,104973,8
69,22,88449,2
36,14,134834,1
64,23,130314,9
33,21,101743,10
22,21,146805,8
52,4,85233,6
29,23,50537,5
42,0,126293,0
69,25,102576,4
38,3,132522,10
53,14,47612,10
40,19,118977,2
33,18,31471,0
56,2,60631,3
62,19,133997,1
59,10,117059,1
56,16,56348,2
31,29,89732,7
48,26,26177,7
22,12,29760,6
52,10,57779,5
40,1,46636,8
46,8,106889,3
60,25,78551,0
28,1,36556,7
35,20,52598,6
64,8,36563,6
29,8,71819,2
26,7,134326,3
27,16,98770,9
61,0,116055,8
34,24,51966,5
55,28,145133,4
24,10,106709,2
63,7,84889,8
30,9,51987,4
57,24,103714,4
59,6,129874,3
26,2,83348,3
67,2,49596,0
44,17,58174,6
19,4,89106,8
22,11,132510,2
46,11,94967,1
