Age,Tenure,Income,Claims,Current_Plan_Premium Plan,Current_Plan_Standard Plan,Subscription_Status_Inactive
56,2,121826,5,False,False,False
69,18,90082,0,True,False,False
46,14,108624,3,False,True,False
32,24,130228,0,True,False,True
60,22,58130,5,True,False,False
25,4,76756,3,False,True,True
38,27,122624,2,False,True,False
56,9,51292,2,True,False,False
36,6,136785,8,False,True,True
40,24,111206,5,True,False,True
28,16,94274,8,True,False,True
28,6,27469,4,False,True,True
41,21,78947,1,False,False,True
53,25,47534,7,False,True,False
57,29,88620,4,False,False,False
41,11,73874,1,True,False,True
20,24,74708,3,True,False,False
39,16,99553,8,False,False,False
19,12,93344,3,True,False,False
41,19,74138,3,False,False,True
61,24,79302,1,False,False,False
47,3,72638,5,True,False,False
55,9,103249,10,False,False,False
19,2,130865,1,False,True,True
38,8,27719,6,False,True,False
50,12,47890,2,True,False,False
29,17,102236,2,True,False,True
39,14,61509,4,False,False,True
61,3,67534,2,False,False,False
42,14,127302,1,False,False,False
66,21,117241,9,False,False,True
44,1,43787,8,False,True,True
59,14,73845,1,False,True,True
45,7,82932,10,True,False,True
33,7,117124,1,False,False,True
32,16,116659,7,False,False,True
64,11,58062,8,True,False,True
68,18,100713,6,False,False,False
61,9,112263,2,False,False,True
69,8,120756,8,False,False,True
20,4,85461,2,False,False,False
54,5,100418,4,False,False,True
68,19,91672,8,True,False,True
24,25,59832,2,False,False,False
38,1,56966,6,True,False,True
26,26,97545,0,False,False,False
56,23,37987,3,False,True,False
35,26,62311,3,False,True,False
21,12,56575,6,False,True,False
42,5,88852,7,False,True,True
31,4,26007,0,True,False,False
67,24,95981,4,True,False,False
26,0,101242,6,False,False,True
43,20,72517,3,False,True,False
19,21,135022,3,True,False,False
37,20,54257,3,False,False,False
45,5,112272,5,False,False,False
64,5,67207,6,True,False,True
24,22,38281,1,False,True,False
61,15,86246,4,False,False,True
25,3,26435,3,False,True,True
64,29,123875,2,False,True,False
52,10,125686,6,False,True,False
31,29,116357,10,False,False,False
34,29,51660,5,False,True,False
53,29,30084,6,False,False,True
67,30,107197,4,False,True,True
57,23,38507,5,False,False,True
21,22,97595,4,False,True,False
19,8,108807,6,True,False,True
23,22,70539,1,False,True,False
59,2,140953,10,False,True,False
21,18,32491,4,False,False,False
46,30,137831,5,False,False,False
35,7,75192,5,False,True,False
43,4,105395,4,True,False,True
61,3,148797,9,True,False,True
51,23,88888,6,False,False,False
27,30,98609,9,True,False,True
53,5,34077,7,False,True,False
31,1,142440,6,False,False,False
48,19,147901,4,False,True,False
65,27,45953,0,False,False,True
32,10,101919,4,False,False,False
25,3,139682,9,False,False,False
31,14,146041,1,False,False,True
40,5,92889,4,True,False,True
